EngineID,Cycle,Altitude_m,Mach,Tamb_K,Pamb_Pa,RPM_rev_min,FuelFlow_kg_s,P2_Pa,T2_K,P3_Pa,T3_K,P4_Pa,T4_K
8,23,6640.033133136597,0.5128467141895394,245.78971833968447,43781.864867861615,40683.465163266366,1.5195390559685766,97665.98147871844,328.153516086351,92151.69566066434,3311.5066775308646,82792.89812139129,3180.498275653322
2,30,10261.41838924201,0.7851283356454285,224.87031769942948,25756.707036942134,65363.486058495175,1.7091278420254414,147492.615101206,426.70010992738236,138958.02097264313,2039.2858534954778,88415.28681442859,1824.0046891697002
1,7,5057.250681309782,0.7374851638402087,253.8276757943832,52949.94815526623,73201.93364892599,0.21216093255144344,453907.65379367105,493.2687552295922,426229.5615891972,705.2990638025743,94760.51998782321,443.87450795990424
7,6,7702.423629591316,0.20725990104324662,234.78784948573423,37063.49254827991,57371.271661211074,0.8636915705000464,161685.1594520877,380.09752423293025,153506.69271233596,1450.375761954147,102731.68430785554,1302.5400819964389
6,24,2260.80386441149,0.06963146722926818,271.6930840349811,77656.76331716451,64453.978048125806,0.8969524125677015,342471.4353185897,469.0400623494313,320971.5362504016,1345.341124854092,160942.1553481826,1098.3391123112328
2,1,2118.2457074214226,0.07935413376243118,279.73327167805866,78294.64076413686,35905.73172978415,1.0316044954741084,134921.76459322782,326.34579995245036,129107.91308611305,2937.641245912947,119106.82059658518,2842.0289805479997
1,23,6614.586000663132,0.4000754072693271,244.22391134654262,43529.881136362426,74593.15641275207,0.8389034887597652,259197.67546365337,460.41926734522065,241810.85856567902,1187.8101102195333,104426.06810938215,940.1168399416928
9,17,6866.762282631423,0.6852058962914034,246.68123796690477,41815.059288471195,70646.68386589926,0.819987129604435,308909.83219749935,474.37405601724106,290210.5911123588,1220.243342555365,133472.2463872187,960.7431222780863
2,27,7270.119212968999,0.46013811959779066,239.21204260779535,39844.43557263012,41828.48308494344,0.5147954160622353,81918.75141061086,322.0062816553767,78042.65068068646,1273.648660231425,60476.65053990085,1156.3690033806927
7,7,1717.010244875506,0.3356693704996076,278.1082189032447,82715.11911542124,70068.31803869916,0.852881167465337,499084.75755967095,491.06193813094404,475666.4831055354,1323.9542082028563,241815.79154418447,1087.431699998054
