EngineID,Cycle,predicted_T4_K,predicted_P2_Pa,predicted_T2_K,predicted_P3_Pa,predicted_T3_K,predicted_RPM_rev_min,predicted_FuelFlow_kg_s,predicted_Thrust_N,predicted_TSFC_g_N_s,residual_T4_K,residual_P2_Pa,residual_T2_K,residual_P3_Pa,residual_T3_K,residual_RPM_rev_min,residual_FuelFlow_kg_s,residual_Thrust_N,residual_TSFC_g_N_s
1,1,573.9234797687677,76556.56188443436,279.8820348529397,146075.58201201182,242.68049918192023,1007.056312144608,0.01508681014912015,1372.2993244284835,0.01099381882695548,363.16341861515025,-328.24848252719676,22.488170280818622,-71108.89873714438,748.2439291942768,36684.67963608079,0.28664939283328283,19854.836785035965,0.0033534063631147203
1,2,923.445264965069,372999.77956166025,505.76875323581316,2399841.4956961814,261.62425828918833,1020.5636038055816,0.028235645379549278,1770.3489456468014,0.01594919772679804,-128.07574828124564,738.1341283156653,-43.32936252710306,-2049437.304495599,747.0423940758852,68030.37016487002,0.5364772622114363,38030.07343797491,-0.00189374870434624
1,3,1056.286025975378,114294.4219590624,372.4836310669328,601976.6545251067,219.44252584185207,1011.7145994368253,0.03745149011793235,1866.1757967269,0.02006857563130912,-14.049848774219527,3711.284105796003,-9.381141554216185,-492230.04290242813,969.8114491462104,61795.90143521673,0.7115783122407147,45948.68800893411,-0.00415135081071202
1,4,1972.6531838222934,185930.7117451708,451.3415133261258,1254588.1029200377,232.15725697731312,1003.3696699648846,0.07900635205585402,2613.823740765926,0.03022635031721874,-476.0434144788353,2083.618418348313,-30.581647858535973,-1073561.7887165153,1479.5310698697194,78258.78994888194,1.5011206890612263,81583.75014776776,-0.01134171372615754
1,5,726.3986193951245,210796.44535795308,435.56961248265344,1203226.3955860026,239.93901467439295,1040.0833924634733,0.02057237695406989,1812.2814637161296,0.011351645627873774,94.55930164686004,1742.0685866634303,-23.704998041308954,-1003382.7755332997,748.4355417683021,53474.619459435555,0.3908751621273279,24320.007057427643,0.004539409698296526
1,6,982.1320530582286,415573.2924730661,501.18801721061476,2486769.2439409047,271.35187540520303,1018.4278161123269,0.030688050160069598,1798.0391643246612,0.017067509300664176,-120.31083039607813,4568.858933390351,-25.11806051567345,-2094253.4545628838,820.3389257441353,66846.26287752598,0.5830729530413223,39897.624451575335,-0.0023936404897213753
1,7,563.325531261534,459535.4763855019,591.6422875437524,3891073.841438387,256.18562381523884,1036.8742581920105,0.010608046627572169,1580.9035144715479,0.006710116417900523,-119.45102330162985,-5627.822591830802,-98.37353231416023,-3464844.27984919,449.1134399873355,72165.05939073398,0.20155288592387122,16750.78916822733,0.004882584738207578
1,8,1651.404295911967,80045.00855467259,275.5911174984862,98247.54863347411,270.2857242057889,1012.8180745853277,0.06458740298239705,2419.9288055012184,0.026689794689649823,2681.0852814033424,-347.0859445720416,7.186959300611193,-22211.963354232605,3995.565256925861,30740.023094927954,1.2271606566655442,38413.48880423111,0.005078689975582574
1,9,1717.7549788769911,156734.56488706058,387.7902762266849,766657.7522236926,237.3841753923346,1016.5566041220095,0.0676031332748742,2517.62870671758,0.026851907548755848,-11.308413752678916,463.30200180839165,0.462375197946983,-616364.189069253,1632.028880654907,61124.49973429143,1.28445953222261,60459.38161349346,-0.005568688917790547
1,10,1171.1081298113954,154391.42132247158,336.5837593601049,421850.72289423813,261.6093158966417,1042.2700600855203,0.04172930853227497,2257.286771500703,0.018486489647273414,1038.2977157080936,599.1561555333319,17.02585141770618,-276257.5698010314,2061.0156583241605,36085.250866513175,0.7928568621132244,29222.96781937101,0.007368429331891187
