EngineID,Cycle,CompressorHealth_pct,CombustorHealth_pct,TurbineHealth_pct,OverallHealth_pct
1,1,84.0113502114201,79.91452938751027,83.14931939983569,82.35839966625535
1,2,96.16495497422957,33.87354720135971,99.59541460528663,76.54463892695864
1,3,94.83670620101041,38.62563312645812,93.36480275685332,75.60904736144062
1,4,90.65047597112437,28.610483116825726,100.0,73.08698636265002
1,5,97.58199861683458,49.06901643900527,100.0,82.21700501861328
1,6,92.75545040953025,35.12602823452127,100.0,75.9604928813505
1,7,96.0558744438452,34.9983484320672,100.0,77.01807429197079
1,8,100.0,100.0,0.0,66.66666666666667
1,9,89.11552224933307,38.36368299602113,96.18849982872959,74.55590169136126
1,10,99.24869690054521,82.62147454221827,100.0,93.95672381425449
1,11,93.89964234073761,32.93131711713943,84.29319861537682,70.37471935775129
1,12,93.0409531173245,41.62664518602001,96.05593896792186,76.9078457570888
1,13,88.96981653906435,76.49185543174376,13.789516570712538,59.75039618050689
1,14,89.8722330849404,28.14426616316218,98.19677773019735,72.07109232609997
1,15,87.59738666354832,38.62803661476162,100.0,75.40847442610331
1,16,89.89403747804371,53.75486233638824,100.0,81.21629993814399
1,17,81.17915167240213,98.4359268517531,82.3695207338996,87.32819975268494
1,18,85.30935207858538,36.37644166246296,100.0,73.89526458034945
1,19,80.2610237578627,30.379968679340884,100.0,70.21366414573453
1,20,82.48794389417095,97.48054654193174,68.37468941636745,82.78105995082338
1,21,80.52349884209512,32.716720046938775,98.33201550003915,70.52407812969102
1,22,,100.0,100.0,100.0
1,23,80.27222028698245,30.36482969846021,97.43120134500698,69.35608377681655
1,24,80.8403709649866,45.50020857757673,98.32463821298172,74.88840591851502
1,25,72.73711491033008,40.896117006645106,100.0,71.21107730565839
1,26,94.21722746164563,91.54540538346143,100.0,95.25421094836902
1,27,79.7187230041131,29.937329622225413,84.9685372593027,64.87486329521374
1,28,77.50929670285124,52.29966013386197,96.6920850394435,75.50034729205224
1,29,,100.0,,100.0
1,30,74.21091954269562,26.96829218688969,97.77756508017067,66.318925603252
2,1,100.0,88.64572700822372,100.0,96.21524233607458
2,2,97.33088774659262,40.10855998949652,100.0,79.14648257869638
2,3,91.43397324792689,72.51866975449187,100.0,87.9842143341396
2,4,94.61136634586401,56.63152826362311,100.0,83.7476315364957
2,5,91.74360545223654,31.59270010365056,90.79591201470026,71.37740585686245
2,6,93.60463780015886,61.71254238482954,46.60954228224526,67.30890748907788
2,7,92.99364715997633,55.92323848988494,100.0,82.97229521662042
2,8,82.47803186288803,55.24223356062002,100.0,79.24008847450268
2,9,94.52002884105217,84.42367000528414,100.0,92.98123294877877
2,10,91.4908602883556,34.651742576992035,94.58674734996487,73.57645007177084
2,11,93.95592888696527,76.40435877814986,100.0,90.12009588837172
2,12,79.82251719509037,40.247659342762766,100.0,73.35672551261771
2,13,88.67650355013534,56.152069735833734,100.0,81.60952442865636
2,14,99.9477458161722,74.34351430478777,100.0,91.43042004031999
2,15,88.11738099374159,34.1918773441903,100.0,74.10308611264396
2,16,77.728194987321,67.91156609758892,100.0,81.87992036163665
2,17,100.0,100.0,,100.0
2,18,81.28908711081256,58.03962740525975,20.886140577078525,53.40495169771694
2,19,83.20791253209333,28.153170870336915,100.0,70.45369446747675
2,20,88.51217315791774,48.33636739042464,80.02265696179926,72.29039917004722
2,21,80.10760493121342,36.98833963254073,97.57042698838521,71.55545718404646
2,22,81.41229852424908,31.773226009276407,97.43375224670072,70.20642559340874
2,23,83.57134984409531,62.09249634522407,100.0,81.88794872977313
2,24,85.741620983015,63.622704797656446,75.16575352853103,74.84335976973415
2,25,69.56510063754845,27.762763191943296,98.58818697804416,65.30535026917863
2,26,77.18674260497616,57.427196324985715,100.0,78.2046463099873
2,27,70.56030028044427,64.73723160756116,100.0,78.43251062933514
2,28,94.26623241902526,83.95081530460236,0.0,59.40568257454254
2,29,71.61046755743585,32.613502328023586,96.73668679770545,66.98688556105496
2,30,76.95142818858768,33.0417687851238,86.81481284125643,65.60266993832265
3,1,100.0,66.57470663792803,100.0,88.85823554597602
3,2,92.49618048698468,42.4049452541493,98.92007347351807,77.94039973821735
3,3,89.47769993405174,69.7718269409983,99.70409139879199,86.31787275794734
3,4,93.64104643233816,54.94285986575688,100.0,82.861302099365
3,5,81.69482555494807,86.03712129773483,100.0,89.24398228422763
3,6,95.5669248365767,63.65502736076311,100.0,86.40731739911327
3,7,100.0,97.82560109304409,56.75237690548614,84.85932599951008
3,8,87.86030250497052,31.676133531133736,96.42662096948996,71.9876856685314
3,9,87.4452978247515,35.11031336791982,87.8966080107646,70.15073973447865
3,10,89.36536632208778,31.124149244375644,96.14712079939969,72.21221212195438
3,11,87.65193038287336,30.96074676799973,94.08586638444389,70.89951451177232
3,12,86.61651936441046,43.74486061263176,88.71348699736576,73.024955658136
3,13,86.09517605849022,87.94553055301395,67.19317134772939,80.41129265307785
3,14,88.73492020178713,39.14130729998331,100.0,75.95874250059015
3,15,81.50710345680143,29.777936455238972,100.0,70.4283466373468
3,16,88.53010515777919,38.3992451129726,100.0,75.64311675691727
3,17,66.82551672632889,93.37527034073776,,80.10039353353332
3,18,82.97412416340889,33.70696488541699,86.2910559221751,67.65738165700033
3,19,84.03155003666264,62.162993652909925,88.46577334597882,78.22010567851713
3,20,83.42766856364855,39.12122878015758,98.3941952199451,73.64769752125041
3,21,86.5314669825829,89.31797344726358,100.0,91.94981347661549
3,22,88.5070667093037,80.71130614256751,74.82688876842192,81.3484205400977
3,23,72.20454835173872,32.92096136983007,100.0,68.3751699071896
3,24,80.09249184386205,36.701162176901505,97.96880463576983,71.58748621884446
3,25,71.01400978699456,31.936551374967454,100.0,67.65018705398734
3,26,77.00733857508556,43.37922429050071,77.60584927308223,65.9974707128895
3,27,73.73696661701405,31.340523638561756,99.79286183978957,68.29011736512179
3,28,72.98150387978092,84.93998837812406,100.0,85.97383075263498
3,29,68.64485915131823,26.150584102161645,98.08661232184144,64.2940185251071
3,30,,100.0,,100.0
4,1,94.61942362993786,49.248565237428856,80.9773582224597,74.94844902994214
4,2,98.10111464051874,83.531271095717,100.0,93.87746191207857
4,3,79.1071485957992,99.0666674830837,100.0,92.72460535962763
4,4,97.35024594616563,42.56390688425657,86.51873966388897,75.47763083143705
4,5,90.4107710848708,30.776928090072563,95.34832422006471,72.17867446500269
4,6,89.6602991094931,46.70378569267515,100.0,78.78802826738941
4,7,87.52278610876346,35.23349762148379,89.89802002553793,70.88476791859506
4,8,90.43060463910399,35.725669733709644,100.0,75.38542479093788
