EngineID,Cycle,pressure_ratio,temperature_ratio,compressor_efficiency,turbine_efficiency,combustor_efficiency,thermal_efficiency,propulsive_efficiency,overall_efficiency
1,1,1.9162903584373039,1.3207016254530564,0.7899431454563922,0.831493193998357,0.5333451272373987,0.30705631214460805,0.03979650826393298,0.01221976906375568
1,2,6.4211882385764705,2.8974158835017647,0.9042212370571917,0.9959541460528664,0.2260701712261448,0.3205636038055816,0.0625770002302194,0.02005990870914184
1,3,5.101250393724586,2.435437637803605,0.8917319601770458,0.9336480275685332,0.2577853285547291,0.3117145994368253,0.02809767033427477,0.008758454053356428
1,4,6.6728323411779416,2.9854913194122794,0.8523696136955426,1.0,0.190944774063222,0.30336966996488457,0.0047984120406421886,0.001455692677125149
1,5,5.661215810982571,2.6314255338439,0.9175454356264492,1.0,0.32748388830736774,0.3400833924634732,0.1596388415237926,0.05429051879435016
1,6,5.918875874787292,2.7216065561755522,0.8721622979554084,1.0,0.23442916002472466,0.3184278161123269,0.05494629814571017,0.017496429721995287
1,7,8.572390901359682,3.650336815475889,0.9031955730598505,1.0,0.23357703211998154,0.33687425819201045,0.20503110388796,0.06906970102854555
1,8,1.2327491785968168,1.0814622125088857,0.9773439225726362,0.0,0.7206726555009654,0.3128180745853277,0.039375850740360346,0.012317477813758772
1,9,4.877023889679631,2.3569583613878704,0.8379367285190705,0.9618849982872959,0.25603708794418495,0.31655660412200953,0.03110736444082876,0.009847241650574507
1,10,2.7217830255139477,1.6026240589298817,0.9332170904855587,1.0,0.5514111287395991,0.34227006008552036,0.14755278081532483,0.05050289915544685
1,11,8.260684495692532,3.541239573492386,0.8829209224849414,0.8429319861537683,0.2197817800160989,0.3400880257109471,0.07132982243929578,0.024258418487692515
1,12,5.351259622219602,2.5229408677768603,0.8748468269680211,0.9605593896792186,0.27781391623478313,0.32947838523506384,0.11643627191701854,0.03836323485401008
1,13,2.349850020695541,1.4724475072434393,0.8365666847477113,0.13789516570712537,0.5105023914993375,0.3291537739505133,0.06573135635441102,0.02163572401094044
1,14,7.799833761924506,3.379941816673577,0.8450519401681666,0.9819677773019735,0.18783326802824085,0.32768243234390626,0.09932721622386695,0.03254778381018583
1,15,6.354354270228048,2.8740239945798165,0.8236619811564092,1.0,0.25780136930207337,0.33595492803916244,0.06880909155164036,0.02311675340067148
1,16,4.193619302051161,2.1177667557179065,0.8452569628327167,1.0,0.35875696337280333,0.3370408181077493,0.16910645426915621,0.0569957776941771
1,17,1.4752160817010227,1.166325628595358,0.7633125078480382,0.823695207338996,0.656955904437632,0.3199177983274574,0.14126337348288617,0.045192667428954274
1,18,5.1905348537548,2.4666871988141796,0.802148016288446,1.0,0.24277434974099096,0.3161687066865256,0.0878335557386787,0.0277702217215769
1,19,6.117944284829963,2.7912804996904867,0.7546795213418411,1.0,0.20275422235400908,0.3226480254765936,0.04002094672341084,0.012912679438012456
1,20,1.2673658579979863,1.0935780502992951,0.775618838383271,0.6837468941636744,0.6505797493528545,0.3088197463928287,0.046831790619410535,0.014462581702208417
1,21,6.67088736049026,2.984810576171591,0.75714752588076,0.9833201550003915,0.2183495710975436,0.3335715237905593,0.05420714667063598,0.01808196051526239
1,22,0.9815112228578683,0.9935289280002539,,1.0,0.7726040120719265,0.31746038661007986,0.04136323738749402,0.01313118933247836
1,23,5.954476986778035,2.7340669453723123,0.7547848002286675,0.9743120134500698,0.2026531856370825,0.32000377036346633,0.04741506230492091,0.01517299870959336
1,24,3.221681885052757,1.777588659768465,0.7601270156858211,0.9832463821298172,0.30366586300548926,0.3050026808800305,0.02608090155046543,0.0079547448926601
1,25,3.4764941185409874,1.8667729414893457,0.6839336018179911,1.0,0.2729384117706336,0.30332759049321156,0.005034669868497553,0.001527154280140137
1,26,1.4260335977897063,1.1491117592263973,0.8859071164781208,1.0,0.6109689471545874,0.32631212639342055,0.061202280837307964,0.019971046400149257
1,27,8.063096341436028,3.4720837195026095,0.7495803679283765,0.849685372593027,0.1998000738900579,0.34344945788509573,0.07545978221842968,0.02591662129504706
1,28,3.0480964596421196,1.7168337608747417,0.7288055421735152,0.966920850394435,0.34904502475774823,0.32810052071644785,0.12185948533141937,0.03998216059147704
1,29,0.8525808732657362,0.9484033056430078,,,0.7587964029339986,0.30618103388917434,0.026238646450020973,0.008033775897919935
1,30,5.997304967076706,2.749056738476847,0.697791513447184,0.9777756508017068,0.1799848830748416,0.32051222551701064,0.04354668590441453,0.01395724521311414
2,1,1.7232567041169595,1.2531398464409358,1.0,1.0,0.5916166548512757,0.30396770668812156,0.01294405476309112,0.0039345746415822645
2,2,5.299866940690611,2.5049534292417137,0.9151842866840976,1.0,0.2676823000130204,0.3217763850044021,0.055708724287143005,0.01792575191432381
2,3,2.3728541195794595,1.4804989418528107,0.8597366932834359,1.0,0.48398557113121426,0.31455745295562726,0.05168411268830465,0.016257622845504728
2,4,3.6998788861177667,1.9449576101412183,0.8896131313101954,1.0,0.37795567187724655,0.3257573231010633,0.04562256102573361,0.014861883352757881
2,5,8.457066824109505,3.6099733884383265,0.8626481074767732,0.9079591201470026,0.21084792447251677,0.33875745243340527,0.10018751027509631,0.03393926574643724
2,6,3.2715969237441387,1.7950589233104486,0.8801470495008475,0.4660954228224526,0.411866077703817,0.32731152098813177,0.07116965682183662,0.023294648622558714
2,7,3.276279657542467,1.7966978801398632,0.874402017824347,1.0,0.37322858529623776,0.31847687332905567,0.03483895272761197,0.011095400734748635
2,8,3.525168946532805,1.8838091312864815,0.7755256373913836,1.0,0.36868359625066804,0.3234899178379867,0.04412269491157725,0.014273246951736677
2,9,1.9987762290911675,1.3495716801819087,0.8887543016917256,1.0,0.5634388810885449,0.3282513541307734,0.05828416347591032,0.019131855585346927
2,10,6.340571966278963,2.8692001881976372,0.8602715915744272,0.9458674734996486,0.23126380390862722,0.32557963887512414,0.044484103179083884,0.014483118248729892
2,11,2.1198234801209574,1.391938218042335,0.8834501744403267,1.0,0.5099184436965843,0.3156726844257082,0.0348516931321954,0.01100172752782114
