EngineID,Cycle,overall_pressure_ratio,compressor_temperature_ratio,turbine_expansion_ratio,brayton_thermal_efficiency,compressor_work_j_kg,turbine_work_j_kg,net_work_j_kg,heat_added_j_kg,heat_rejected_j_kg,tsfc_kg_per_n_s,thrust_n,specific_thrust_n_s_per_kg,fuel_air_ratio,mass_flow_rate_kg_s
1,1,1.9162903584373039,1.2596025155431863,1.265672862386308,0.17017353247123668,62564.37022479436,54050.26558754161,-8514.104637252749,691275.0017137581,699789.1063510109,1.4214644944395925e-05,21227.13610946445,2122.713610946445,0.0301736202982403,10.0
1,2,6.4211882385764705,1.7793588312076156,2.2980880741983376,0.4133909264909682,203475.32679865247,214273.28856986202,10797.96177120955,548727.0669988092,537929.1052275997,1.4188615943517494e-05,39800.42238362171,3980.0422383621712,0.056471290759098555,10.0
1,3,5.101250393724586,1.6679188017778317,1.641027168204057,0.3732782945527494,145888.22613712033,147506.84213865775,1618.616001537419,828899.6202164894,827281.004214952,1.566520832105698e-05,47814.86380566101,4781.486380566101,0.0749029802358647,10.0
1,4,6.6728323411779416,1.8487133250632553,1.551588084034337,0.4197575285272702,193844.44652420937,215836.41636295762,21991.96983874825,1295477.225248058,1273485.2554093099,1.8766895150790887e-05,84197.57388853369,8419.75738885337,0.15801270411170804,10.0
1,5,5.661215810982571,1.7020187850887898,1.805156563948798,0.3917771180905091,170533.764360966,168062.23047291147,-2471.533888054517,578733.0901176657,581204.6240057203,1.5744795514120144e-05,26132.28852114377,2613.2288521143773,0.04114475390813978,10.0
1,6,5.918875874787292,1.7628784709479017,2.204755766102864,0.39952700992944057,207044.23084114934,231015.3685896544,23971.137748505047,618689.4204490551,594718.28270055,1.4720020020675332e-05,41695.6636159,4169.566361589999,0.061376100320139196,10.0
1,7,8.572390901359682,1.943321403727353,4.497965625810918,0.4600442799016222,240500.29771530294,262581.02268230834,22080.7249670054,212968.2695081074,190887.54454110202,1.1573450211265928e-05,18331.69268269888,1833.1692682698879,0.021216093255144338,10.0
1,8,1.2327491785968168,1.0632912588099814,1.0290198287902048,0.058253896797921256,16912.982332705793,-66958.97677544423,-83871.95910815003,4002222.456203284,4086094.415311435,3.1634581067739554e-05,40833.41760973232,4083.3417609732323,0.1291748059647941,10.0
1,9,4.877023889679631,1.6865329243147702,1.3927266611391633,0.36518865445089144,158626.07011110903,163565.5743635218,4939.504252412764,1486605.3195020144,1481665.8152496018,2.1469146576231967e-05,62977.01032021104,6297.701032021104,0.1352062665497484,10.0
1,10,2.7217830255139477,1.35650148830702,1.0785129111224079,0.24963979802939995,93352.95843443084,113732.02219938936,20379.063764958526,1977935.1916478688,1957556.1278829104,2.6511417442205288e-05,31480.25459087171,3148.025459087171,0.08345861706454993,10.0
1,11,8.260684495692532,1.9424816356665717,1.526960024643377,0.4541892153146223,206678.72952860553,165910.90110088544,-40767.82842772009,1296043.0684370962,1336810.896864816,2.2208474157900377e-05,61851.203305542025,6185.120330554202,0.13736208502461725,10.0
1,12,5.351259622219602,1.706058721551748,2.142961727561555,0.3818358264141315,158604.68144387432,155637.51370215748,-2967.1677417168394,442035.13550249086,445002.3032442077,1.3845038124749887e-05,26767.53778290408,2676.7537782904083,0.03705975811099901,10.0
